OBJECTID,Point,N,E,Elevation,Code,Site,SurveyID
136,50235,1266640.6,2806307.13,7459.15,PITRCK,Riffle 1,Deploy 2023
137,50236,1266647.72,2806305.93,7459.09,PITRCK,Riffle 1,Deploy 2023
138,50237,1266653.48,2806305.04,7459.03,PITRCK,Riffle 1,Deploy 2023
139,50238,1266660.04,2806303.79,7459.06,PITRCK,Riffle 1,Deploy 2023
140,50239,1266666.04,2806301.84,7459.11,PITRCK,Riffle 1,Deploy 2023
141,50240,1266540.62,2806300.09,7459.38,PITRCK,Riffle 1,Deploy 2023
142,50241,1266546.28,2806299.52,7458.78,PITRCK,Riffle 1,Deploy 2023
143,50242,1266553.43,2806297.9,7459.45,PITRCK,Riffle 1,Deploy 2023
144,50243,1266560.59,2806297.39,7458.47,PITRCK,Riffle 1,Deploy 2023
145,50244,1266567.86,2806296.35,7458.67,PITRCK,Riffle 1,Deploy 2023
146,50245,1266576.03,2806294.99,7458.94,PITRCK,Riffle 1,Deploy 2023
147,50246,1266584.37,2806293.47,7458.82,PITRCK,Riffle 1,Deploy 2023
148,50247,1266594.09,2806293.25,7458.5,PITRCK,Riffle 1,Deploy 2023
149,50248,1266600.71,2806292.19,7459.62,PITRCK,Riffle 1,Deploy 2023
150,50249,1266608.31,2806291.13,7458.74,PITRCK,Riffle 1,Deploy 2023
151,50250,1266614.45,2806290.35,7459.23,PITRCK,Riffle 1,Deploy 2023
152,50251,1266622.02,2806289.24,7458.25,PITRCK,Riffle 1,Deploy 2023
153,50252,1266628.62,2806289.56,7459.36,PITRCK,Riffle 1,Deploy 2023
154,50253,1266633.72,2806289.22,7459.26,PITRCK,Riffle 1,Deploy 2023
155,50254,1266640.26,2806287.72,7458.31,PITRCK,Riffle 1,Deploy 2023
156,50255,1266646.23,2806288.27,7458.28,PITRCK,Riffle 1,Deploy 2023
157,50256,1266651.32,2806288.7,7458.88,PITRCK,Riffle 1,Deploy 2023
158,50257,1266654.81,2806288.32,7459.05,PITRCK,Riffle 1,Deploy 2023
159,50258,1266659.3,2806287.28,7459.33,PITRCK,Riffle 1,Deploy 2023
160,50259,1266663.28,2806287.25,7459.34,PITRCK,Riffle 1,Deploy 2023
161,50260,1266532.74,2806259.6,7459.3,PITRCK,Riffle 1,Deploy 2023
162,50261,1266538.68,2806258.71,7458.98,PITRCK,Riffle 1,Deploy 2023
163,50262,1266542.92,2806258.75,7458.7,PITRCK,Riffle 1,Deploy 2023
164,50263,1266548.28,2806257.49,7458.39,PITRCK,Riffle 1,Deploy 2023
165,50264,1266554.67,2806256.12,7458.75,PITRCK,Riffle 1,Deploy 2023
166,50265,1266560.06,2806254.86,7459.36,PITRCK,Riffle 1,Deploy 2023
167,50266,1266568.48,2806253.47,7458.79,PITRCK,Riffle 1,Deploy 2023
168,50267,1266574.5,2806252.53,7458.07,PITRCK,Riffle 1,Deploy 2023
169,50268,1266580.54,2806251.42,7458.38,PITRCK,Riffle 1,Deploy 2023
170,50269,1266585.83,2806250.72,7458.85,PITRCK,Riffle 1,Deploy 2023
171,50270,1266592.11,2806249.53,7458.55,PITRCK,Riffle 1,Deploy 2023
172,50271,1266597.85,2806249.12,7458.98,PITRCK,Riffle 1,Deploy 2023
173,50272,1266603.54,2806248.41,7458.85,PITRCK,Riffle 1,Deploy 2023
174,50273,1266609.76,2806247.78,7458.62,PITRCK,Riffle 1,Deploy 2023
175,50274,1266616.19,2806247.22,7459.09,PITRCK,Riffle 1,Deploy 2023
176,50275,1266622.6,2806246.77,7458.57,PITRCK,Riffle 1,Deploy 2023
177,50276,1266628.45,2806246.06,7458.75,PITRCK,Riffle 1,Deploy 2023
178,50277,1266634.22,2806244.86,7458.88,PITRCK,Riffle 1,Deploy 2023
179,50278,1266640.81,2806244.42,7459.52,PITRCK,Riffle 1,Deploy 2023
180,50279,1266646.67,2806242.9,7459.39,PITRCK,Riffle 1,Deploy 2023
181,50280,1266524.52,2806239.49,7459.43,PITRCK,Riffle 1,Deploy 2023
182,50281,1266532.16,2806238.95,7458.34,PITRCK,Riffle 1,Deploy 2023
183,50282,1266539.16,2806237.69,7458.66,PITRCK,Riffle 1,Deploy 2023
184,50283,1266545.32,2806236.96,7458.43,PITRCK,Riffle 1,Deploy 2023
185,50284,1266550.9,2806235.28,7458.77,PITRCK,Riffle 1,Deploy 2023
186,50285,1266556.09,2806234.7,7458.1,PITRCK,Riffle 1,Deploy 2023
187,50286,1266563.17,2806233.68,7458.47,PITRCK,Riffle 1,Deploy 2023
188,50287,1266569.77,2806232.26,7458.99,PITRCK,Riffle 1,Deploy 2023
189,50288,1266575.31,2806231.6,7458.51,PITRCK,Riffle 1,Deploy 2023
190,50289,1266580.57,2806230.57,7458.07,PITRCK,Riffle 1,Deploy 2023
191,50290,1266586.52,2806230.67,7458.34,PITRCK,Riffle 1,Deploy 2023
192,50291,1266593.73,2806229.56,7458.59,PITRCK,Riffle 1,Deploy 2023
193,50292,1266602.11,2806227.84,7458.06,PITRCK,Riffle 1,Deploy 2023
194,50293,1266609.11,2806225.97,7458.87,PITRCK,Riffle 1,Deploy 2023
195,50294,1266613.62,2806224.99,7458.57,PITRCK,Riffle 1,Deploy 2023
196,50295,1266617.84,2806223.4,7458.2,PITRCK,Riffle 1,Deploy 2023
197,50296,1266624.23,2806222.44,7458.56,PITRCK,Riffle 1,Deploy 2023
