"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
226001370260,"After","3",12,30,26,12,"32",33.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51134
226001370261,"After","2B",12,33,28,19,"32",45.5,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50184
226001370262,"After","GA9",12,30,20,20,"22.6",18.5,"Gravel","CG1",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50357
226001370263,"After","3",12,17,17,11,"16",3.727,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51110
226001370264,"After","1",12,30,23,12,"32",28.5,"Gravel","CG2",94.18,"2023-04-24 to 2023-09-25",2023-04-24,2023-09-25,50230
226001370265,"After","3",12,21,18,11,"16",4.056,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51122
226001370268,"After","3",12,18,16,12,"16",4.506,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51172
226001370269,"After","GA12",12,21,16,12,"16",4.879,"Gravel","MG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50370
226001370270,"After","3",12,39,29,12,"32",33,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51160
226001370271,"After","2A",12,24,14,13,"16",4.896,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50138
226001370272,"After","2A",12,40,24,19,"32",71.5,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50115
226001370273,"After","2B",12,18,15,9,"16",2.443,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51269
226001370274,"After","0",12,39,29,19,"32",31,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51059
226001370275,"After","GA5",12,37,27,14,"32",39,"Gravel","CG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50323
226001370276,"After","2B",12,25,20,10,"16",5.391,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51266
226001370277,"After","1",12,23,15,13,"16",6.062,"Gravel","MG2",93.91,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50235
226001370278,"After","2B",12,26,16,12,"16",5.809,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50198
226001370279,"After","0",12,60,38,19,"32",65.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51077
226001370280,"After","2A",12,41,24,20,"32",52,"Gravel","CG2",367.16,"2023-04-24 to 2023-09-26",2023-04-24,2023-09-26,50113
226001370281,"After","1",12,21,16,11,"16",4.302,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50204
226001370282,"After","3",12,39,28,18,"32",53,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51174
226001370283,"After","3",12,30,29,17,"32",41.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51175
226001370284,"After","2B",12,22,20,11,"16",5.424,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50158
226001370285,"After","2A",12,31,16,14,"16",9.238,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50120
226001370286,"After","2B",12,35,24,14,"32",37.5,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50161
226001370287,"After","0",12,40,37,24,"32",36,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51016
226001370288,"After","0",12,39,38,15,"32",31.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51086
226001370289,"After","2B",12,20,20,12,"16",5.267,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50172
226001370290,"After","0",12,48,31,23,"32",53.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51022
226001370291,"After","Overflow 1A",12,36,29,10,"32",32,"Gravel","CG2",75.79,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50336
226001370292,"After","1",12,20,18,11,"16",4.728,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50215
226001370293,"After","GA4",12,23,20,11,"16",6.117,"Gravel","MG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50318
226001370294,"After","GA3",12,50,29,15,"32",58,"Gravel","CG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50315
