"","Point","E","N","Elevation","Code","SurveyID","Year","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","B_Axis_ft","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Size_Class2","Distance_ft","Distance_m","Field_Movement","Moved_1PD","Moved_2PD","Hiding","Embedded","Buried","Notes"
"68",467,2806247.7,1266573.45,7458.41,"PITRCK","Relocate 2019",2019,"Before",228000607565,"1","Riffle 1",23,94,58,0.19028872,56,"64",433,"Gravel","VCG2","VCG",5.05,1.53924,0,1,1,0,0,0,""
"69",468,2806251.53,1266580.03,7458.63,"PITRCK","Relocate 2019",2019,"Before",230000111551,"1","Riffle 1",32,189,103,0.33792652,71,"128",1963,"Cobble","SC2","SC",0.07,0.021336,0,0,0,0,0,0,""
"70",469,2806250.78,1266586.58,7458.47,"PITRCK","Relocate 2019",2019,"Before",230000111525,"1","Riffle 1",32,104,86,0.28215224,46,"90",837,"Cobble","SC1","SC",0.36,0.109728,0,1,0,0,0,0,""
"71",470,2806248.22,1266592.43,7458.82,"PITRCK","Relocate 2019",2019,"Before",230000111578,"1","Riffle 1",32,374,275,0.902231,144,">256",19700,"Boulder","SB1","SB",1.66,0.505968,1,1,0,0,0,0,""
"72",471,2806240.44,1266597.04,7458.23,"PITRCK","Relocate 2019",2019,"Before",230000111555,"1","Riffle 1",32,109,71,0.23293964,69,"90",826,"Cobble","SC1","SC",9.38,2.859024,1,1,1,0,0,0,""
"73",472,2806248.34,1266603.9,7458.38,"PITRCK","Relocate 2019",2019,"Before",230000111746,"1","Riffle 1",32,111,68,0.22309712,59,"90",775,"Cobble","SC1","SC",0.88,0.268224,0,1,1,0,0,0,""
"74",473,2806247.96,1266607.03,7458.45,"PITRCK","Relocate 2019",2019,"Before",230000111707,"1","Riffle 1",32,151,98,0.32152232,58,"90",1186,"Cobble","SC1","SC",0.76,0.231648,0,1,1,0,0,0,""
"75",474,2806248.01,1266612.68,7458.46,"PITRCK","Relocate 2019",2019,"Before",230000111577,"1","Riffle 1",32,102,78,0.25590552,45,"90",546,"Cobble","SC1","SC",0.11,0.033528,0,0,0,0,0,0,""
"76",475,2806245.51,1266617.83,7458.5,"PITRCK","Relocate 2019",2019,"Before",230000111607,"1","Riffle 1",32,113,100,0.328084,63,"90",1093,"Cobble","SC1","SC",2.77,0.844296,1,1,1,0,0,0,""
"77",476,2806248.19,1266623.24,7458.3,"PITRCK","Relocate 2019",2019,"Before",230000111567,"1","Riffle 1",32,128,104,0.34120736,33,"90",645,"Cobble","SC1","SC",0.4,0.12192,0,1,0,0,0,0,""
"78",477,2806247.88,1266629,7457.76,"PITRCK","Relocate 2019",2019,"Before",228000607560,"1","Riffle 1",23,82,64,0.20997376,37,"64",407,"Gravel","VCG2","VCG",0.21,0.064008,0,1,0,1,0,0,""
"79",478,2806246.63,1266634.17,7457.86,"PITRCK","Relocate 2019",2019,"Before",230000111648,"1","Riffle 1",32,101,88,0.28871392,34,"90",508,"Cobble","SC1","SC",0.72,0.219456,0,1,1,0,0,0,""
"80",479,2806245.68,1266641.93,7458.96,"PITRCK","Relocate 2019",2019,"Before",228000607517,"1","Riffle 1",23,68,56,0.18372704,43,"64",241,"Gravel","VCG2","VCG",0.47,0.143256,0,1,1,0,0,0,""
"81",480,2806238.49,1266531.62,7458.67,"PITRCK","Relocate 2019",2019,"Before",230000111581,"1","Riffle 1",32,113,101,0.33136484,43,"90",755,"Cobble","SC1","SC",0.21,0.064008,0,0,0,0,0,0,""
"82",481,2806237.14,1266539.65,7458.38,"PITRCK","Relocate 2019",2019,"Before",228000607507,"1","Riffle 1",23,65,45,0.1476378,42,"64",197,"Gravel","VCG2","VCG",0.66,0.201168,0,1,1,0,0,0,""
"83",482,2806236.67,1266544.89,7458.51,"PITRCK","Relocate 2019",2019,"Before",230000111693,"1","Riffle 1",32,154,92,0.30183728,58,"90",1342,"Cobble","SC1","SC",0.02,0.006096,0,0,0,0,0,0,""
"84",483,2806235.72,1266550.84,7458.37,"PITRCK","Relocate 2019",2019,"Before",230000111535,"1","Riffle 1",32,168,101,0.33136484,97,"128",1715,"Cobble","SC2","SC",0.21,0.064008,0,0,0,0,0,0,""
"85",484,2806234.21,1266554.66,7458.31,"PITRCK","Relocate 2019",2019,"Before",230000111562,"1","Riffle 1",32,197,169,0.55446196,68,"180",3575,"Cobble","LC1","LC",0.95,0.28956,0,1,0,0,0,0,""
"86",485,2806233.1,1266559.94,7458.13,"PITRCK","Relocate 2019",2019,"Before",228000607552,"1","Riffle 1",23,75,64,0.20997376,54,"64",543,"Gravel","VCG2","VCG",1.58,0.481584,0,1,1,0,0,0,""
"87",486,2806227.93,1266562.01,7458.18,"PITRCK","Relocate 2019",2019,"Before",230000111700,"1","Riffle 1",32,131,82,0.26902888,56,"90",709,"Cobble","SC1","SC",6.68,2.036064,1,1,1,0,0,0,""
"88",487,2806231.91,1266569.97,7458.3,"PITRCK","Relocate 2019",2019,"Before",230000111521,"1","Riffle 1",32,203,83,0.27230972,83,"90",2179,"Cobble","SC1","SC",0.91,0.277368,1,1,1,0,0,0,""
"89",488,2806220.67,1266572.81,7458.35,"PITRCK","Relocate 2019",2019,"Before",230000111516,"1","Riffle 1",32,126,96,0.31496064,79,"128",1425,"Cobble","SC2","SC",11.25,3.429,1,1,1,0,0,0,""
"90",489,2806230.53,1266579.06,7458.1,"PITRCK","Relocate 2019",2019,"Before",228000607535,"1","Riffle 1",23,74,54,0.17716536,36,"64",254,"Gravel","VCG2","VCG",0.72,0.219456,0,1,1,0,0,0,""
"91",490,2806228.77,1266582.28,7458.21,"PITRCK","Relocate 2019",2019,"Before",230000111545,"1","Riffle 1",32,121,71,0.23293964,58,"90",829,"Cobble","SC1","SC",2.24,0.682752,1,1,1,0,0,0,""
"92",491,2806223.5,1266587.23,7457.99,"PITRCK","Relocate 2019",2019,"Before",230000111540,"1","Riffle 1",32,119,82,0.26902888,59,"90",734,"Cobble","SC1","SC",6.58,2.005584,1,1,1,0,0,0,""
"93",492,2806229.5,1266593.34,7458.13,"PITRCK","Relocate 2019",2019,"Before",230000111506,"1","Riffle 1",32,110,108,0.35433072,41,"128",941,"Cobble","SC2","SC",0.52,0.158496,0,1,0,0,0,0,""
"94",493,2806224.19,1266598.1,7458.08,"PITRCK","Relocate 2019",2019,"Before",230000111667,"1","Riffle 1",32,153,114,0.37401576,52,"128",1347,"Cobble","SC2","SC",3.56,1.085088,1,1,1,0,0,0,""
"95",494,2806226.28,1266606.42,7458.59,"PITRCK","Relocate 2019",2019,"Before",230000111614,"1","Riffle 1",32,306,205,0.6725722,256,"256",18900,"Cobble","LC2","LC",0.32,0.097536,0,0,0,0,0,0,""
"96",495,2806225,1266612.09,7458.15,"PITRCK","Relocate 2019",2019,"Before",230000111549,"1","Riffle 1",32,82,76,0.24934384,75,"90",643,"Cobble","SC1","SC",0.12,0.036576,0,0,0,0,0,0,""
"97",496,2806222.25,1266613.87,7457.97,"PITRCK","Relocate 2019",2019,"Before",230000111596,"1","Riffle 1",32,86,73,0.23950132,64,"90",548,"Cobble","SC1","SC",3.25,0.9906,1,1,1,0,0,0,""
"98",497,2806223.12,1266619.96,7458.12,"PITRCK","Relocate 2019",2019,"Before",230000111503,"1","Riffle 1",32,156,92,0.30183728,43,"90",895,"Cobble","SC1","SC",0.21,0.064008,0,0,0,0,0,0,""
"99",498,2806222.91,1266626.52,7458.38,"PITRCK","Relocate 2019",2019,"Before",230000111548,"1","Riffle 1",32,90,76,0.24934384,52,"90",530,"Cobble","SC1","SC",0.08,0.024384,0,0,0,0,0,0,""
"100",499,2806215.56,1266628.11,7458.45,"PITRCK","Relocate 2019",2019,"Before",228000607571,"1","Riffle 1",23,127,71,0.23293964,31,"64",415,"Gravel","VCG2","VCG",7.52,2.292096,1,1,1,0,0,0,""
"101",500,2804503.25,1266619.22,7453.89,"PITRCK","Relocate 2019",2019,"Before",230000111682,"2","Riffle 2",32,110,97,0.31824148,52,"90",812,"Cobble","SC1","SC",0.21,0.064008,0,0,0,0,0,0,""
