OBJECTID,Point,N,E,Elevation,Code,SurveyID
267,51272,1266621.3,2804203.54,7453.53,PITRCK,Deploy 2024_10
268,51273,1266616.56,2804202.5,7453.52,PITRCK,Deploy 2024_10
269,51274,1266611.12,2804199.75,7453.59,PITRCK,Deploy 2024_10
270,51275,1266603.57,2804198.03,7452.64,PITRCK,Deploy 2024_10
271,51276,1266597.91,2804196.92,7452.33,PITRCK,Deploy 2024_10
272,51277,1266591.18,2804195.18,7452.83,PITRCK,Deploy 2024_10
273,51278,1266584.64,2804192.28,7452.97,PITRCK,Deploy 2024_10
274,51279,1266579.53,2804190.1,7452.74,PITRCK,Deploy 2024_10
275,51280,1266572.34,2804186.91,7453.61,PITRCK,Deploy 2024_10
276,51281,1266577.17,2804162.27,7453.72,PITRCK,Deploy 2024_10
277,51282,1266583.47,2804165.34,7453.08,PITRCK,Deploy 2024_10
278,51283,1266589.62,2804169.28,7452.82,PITRCK,Deploy 2024_10
279,51284,1266595.46,2804170.79,7452.41,PITRCK,Deploy 2024_10
280,51285,1266600.81,2804175.15,7452.92,PITRCK,Deploy 2024_10
281,51286,1266607.56,2804177.76,7453.14,PITRCK,Deploy 2024_10
282,51287,1266612.68,2804179.72,7453.43,PITRCK,Deploy 2024_10
283,51288,1266618.79,2804182.8,7453.18,PITRCK,Deploy 2024_10
284,51289,1266624.15,2804184.8,7453.17,PITRCK,Deploy 2024_10
285,51290,1266629.67,2804186.78,7453.5,PITRCK,Deploy 2024_10
286,51291,1266635.54,2804188.37,7453.86,PITRCK,Deploy 2024_10
