Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,Notes
166,2806253.09,1266568.74,7458.46,PITRCK,Deploy 2019,4/16/2019,Before,230000111592,1,32,213,113,49,128,2412,Cobble,SC2,NA,NA,NA,NA,NA
167,2806252.57,1266574.80,7458.53,PITRCK,Deploy 2019,4/16/2019,Before,228000607565,1,23,94,58,56,64,433,Gravel,VCG2,NA,NA,NA,NA,NA
168,2806251.59,1266580.07,7458.59,PITRCK,Deploy 2019,4/16/2019,Before,230000111551,1,32,189,103,71,128,1963,Cobble,SC2,NA,NA,NA,NA,NA
169,2806250.93,1266586.25,7458.58,PITRCK,Deploy 2019,4/16/2019,Before,230000111525,1,32,104,86,46,90,837,Cobble,SC1,NA,NA,NA,NA,NA
170,2806249.85,1266592.75,7458.9,PITRCK,Deploy 2019,4/16/2019,Before,230000111578,1,32,374,275,144,>256,19700,Boulder,SB1,NA,NA,NA,NA,NA
171,2806249.67,1266598.69,7458.54,PITRCK,Deploy 2019,4/16/2019,Before,230000111555,1,32,109,71,69,90,826,Cobble,SC1,NA,NA,NA,NA,NA
172,2806249.07,1266603.41,7458.4,PITRCK,Deploy 2019,4/16/2019,Before,230000111746,1,32,111,68,59,90,775,Cobble,SC1,NA,NA,NA,NA,NA
173,2806248.41,1266607.64,7458.52,PITRCK,Deploy 2019,4/16/2019,Before,230000111707,1,32,151,98,58,90,1186,Cobble,SC1,NA,NA,NA,NA,NA
174,2806248.11,1266612.63,7458.45,PITRCK,Deploy 2019,4/16/2019,Before,230000111577,1,32,102,78,45,90,546,Cobble,SC1,NA,NA,NA,NA,NA
175,2806248.27,1266617.61,7458.58,PITRCK,Deploy 2019,4/16/2019,Before,230000111607,1,32,113,100,63,90,1093,Cobble,SC1,NA,NA,NA,NA,NA
